scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,avg_unmet_demand,price_volatility,spatial_imbalance,imbalance_persistence,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,delta_intervention,adaptive_active_ratio,service_rate,demand_supply_mismatch,persistence_demand_supply_mismatch,vehicle_concentration
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,35,500,173010.55355893323,1441.7546129911102,0.4187333333333333,0.4430508302442492,17.45,6.215130610746048,0.1167138888888889,0.08,0.2142857142857142,0.598,0.006,102,1.5,0.176,0.5569491697557507,0.1167138888888889,0.08,15.516599135304062
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,36,500,135244.6026184782,1127.038355153985,0.4473333333333333,0.3747654029706687,13.978,4.807400472070523,0.10732777777777779,0.026,0.2293762575452716,0.494,0.002,95,1.5,0.046,0.6252345970293314,0.10732777777777779,0.026,14.949515498314623
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,37,500,166466.61234414406,1387.221769534534,0.4426833333333333,0.3844585166899216,14.328,5.495852726348548,0.10850277777777778,0.004,0.1710794297352342,0.578,0.0,73,1.5,0.026,0.6155414833100783,0.10850277777777778,0.004,15.119107822407882
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,38,500,162683.457384256,1355.6954782021337,0.4142,0.4204674873908563,15.506,6.088547526449755,0.11551388888888889,0.072,0.2112676056338028,0.622,0.0,81,1.5,0.154,0.5795325126091437,0.11551388888888889,0.072,15.856026151745663
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,39,500,174794.32997257865,1456.6194164381554,0.42085,0.4293604039553966,16.326,6.426434087075182,0.11493055555555556,0.064,0.1788617886178861,0.602,0.0,92,1.5,0.142,0.5706395960446033,0.11493055555555556,0.064,15.77835912821236
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,40,500,158857.76055320026,1323.8146712766688,0.43365,0.4059552042160738,15.406,5.3060542054451165,0.11194722222222223,0.046,0.2,0.58,0.0,112,1.5,0.104,0.5940447957839262,0.11194722222222223,0.046,15.373249904056397
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,41,500,163685.84689488274,1364.0487241240228,0.4323833333333333,0.4400657632522917,17.666,5.407702070642179,0.114425,0.062,0.2170385395537525,0.556,0.0,111,1.5,0.116,0.5599342367477083,0.114425,0.062,15.546833828021748
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,42,500,166430.27593316406,1386.9189661097005,0.4346833333333333,0.4392565278054614,17.63,4.876892235413506,0.11451111111111112,0.048,0.2273641851106639,0.606,0.0,110,1.5,0.092,0.5607434721945386,0.11451111111111112,0.048,15.22898122576802
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,43,500,161996.49731192575,1349.9708109327146,0.43105,0.4040376704914483,14.93,5.849730582930714,0.11161111111111112,0.058,0.2101010101010101,0.592,0.0,73,1.5,0.116,0.5959623295085517,0.11161111111111112,0.058,15.699552216374347
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,44,500,175819.73859258264,1465.164488271522,0.4231666666666667,0.4228811335607452,16.116,6.40721829150386,0.11428055555555555,0.03,0.2020408163265306,0.58,0.0,93,1.5,0.104,0.5771188664392548,0.11428055555555555,0.03,15.985164886341618
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,45,500,180095.87593594432,1500.7989661328693,0.4291166666666666,0.4159222280609564,15.83,5.955348420450208,0.11296388888888889,0.052,0.2134146341463414,0.602,0.0,76,1.5,0.092,0.5840777719390435,0.11296388888888889,0.052,15.584317821224944
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,46,500,160284.76736892748,1335.7063947410622,0.4287,0.4063429664258393,15.298,5.4199835726772045,0.11229722222222223,0.036,0.2434077079107505,0.546,0.004,103,1.5,0.074,0.5936570335741607,0.11229722222222223,0.036,15.495102737466015
