fleet_size,scenario,alpha,total_revenue,revenue_per_vehicle,service_rate,overload_frequency,mismatch,avg_idle,avg_unmet,avg_matched,price_avg_R1,price_min_R1,price_avg_R2,price_min_R2,price_avg_R3,price_min_R3,price_avg_R4,price_min_R4,price_avg_C,price_min_C,price_avg_A,price_min_A
80,interaction,0.3,31122.336869948736,389.0292108743592,0.7915559566679141,0.23159999999999997,0.08995708333333333,36.20739999999999,4.377599999999999,16.631,7.892311150439428,1.0,7.283009408903498,1.0240091118978198,7.129958822293998,1.0,6.14623945366706,1.0,1.0889597404122378,1.0,2.5507781227207365,1.0
80,passive,0.3,80687.3,1008.5912500000001,0.5899906801274037,0.6774,0.13650041666666665,59.3316,6.1886,8.8948,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,25.0,25.0
80,pricing_only,0.075,35836.11471348717,447.9514339185897,0.6689883662879106,0.5496000000000001,0.11410958333333335,47.9798,6.7928,13.725399999999999,10.712806376269244,1.4932541910869719,10.660086229236727,1.155742974571257,10.133123126594468,1.1046118995616456,10.942508480618198,1.5795570304558182,1.171911252159383,1.0,5.9457306888974335,1.0
80,pricing_only,0.15,36771.44122661532,459.64301533269145,0.6892660755635547,0.5025999999999999,0.1120825,47.523399999999995,6.2762,13.9214,11.030258248010249,1.0760807414938829,10.805317078331843,1.0936776308962277,11.327962361587959,1.0253216895766832,11.231808029649372,1.0441794302,1.1358026452032,1.0,6.427746008859408,1.0
80,pricing_only,0.3,37673.18071860774,470.91475898259677,0.7068127612769165,0.44960000000000006,0.11076541666666666,47.351800000000004,5.8156,14.0254,11.778582458287186,1.0,11.550194377117531,1.0,11.586561911649905,1.0,11.852589651630954,1.0,1.089104057418,1.0,7.273157328445767,1.0
80,rebalancing_only,0.3,90238.0,1127.975,0.7447240589110946,0.3578,0.12351833333333333,53.9582,3.4712000000000005,10.128,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,25.0,25.0
100,interaction,0.075,24811.675438359853,248.11675438359853,0.7840156746772798,0.24359999999999998,0.10265966666666666,53.952,4.7985999999999995,17.4208,5.218765127748296,1.0809655979639508,5.133075936725849,1.2936290254398344,4.651645612617059,1.2112235489444685,4.847760820656839,1.0,1.1372376064531,1.0,1.7642567465511558,1.0
100,interaction,0.15,26762.854649820045,267.6285464982005,0.7862841067645927,0.2408,0.103917,54.967600000000004,4.6502,17.1078,6.332302193418606,1.0,5.706103271189695,1.0,5.364417289288508,1.0223700701056098,5.279226086559978,1.0541179013826139,1.09526343488,1.0,2.0326495679899663,1.0
100,interaction,0.3,29798.405302208055,297.9840530220805,0.7928746601310233,0.2258,0.10479966666666667,55.9028,4.3614,16.694200000000002,7.676158943722998,1.0,7.007223090552765,1.0,6.102448115268485,1.0,6.489444848332809,1.0,1.066909949448,1.0,2.426792121370115,1.0
100,passive,0.3,81981.4,819.814,0.6138667660251315,0.6376,0.14122333333333334,79.0376,5.6964,9.041,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,25.0,25.0
100,pricing_only,0.075,35043.378584274986,350.43378584274984,0.6711361441473379,0.5509999999999999,0.123592,67.2328,6.9224000000000006,14.127199999999998,9.764737623040022,1.05360722134698,10.083476942967426,1.0,9.735688441884797,1.15939975738631,10.07301476019612,1.0684370385404292,1.1372376064531,1.0,6.023946809786456,1.0
100,pricing_only,0.15,36072.97365927873,360.72973659278733,0.6901705524417162,0.49879999999999997,0.12261,67.24600000000001,6.32,14.080400000000001,10.648354049329873,1.0,10.438076410103994,1.0,11.156399832669726,1.1464433627727,10.353444521729367,1.0,1.09526343488,1.0,6.4334014703328775,1.0
