scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,service_rate,avg_unmet_demand,price_volatility,spatial_imbalance,demand_supply_mismatch,imbalance_persistence,persistence_demand_supply_mismatch,vehicle_concentration,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,trips_served,avg_price,avg_idle_vehicles,avg_price_C,avg_price_A,avg_price_R1
pricing_only,none,none,none,none,21,500,38299.32147623538,478.7415184529423,0.39045,0.31251273690646014,0.6874872630935398,6.134,2.3559480516296074,0.11437083333333334,0.11437083333333334,0.008,0.008,15.273829974996815,0.30522088353413657,0.494,0.0,20,6747,9.740133234261538,48.764,1.05815,8.334745838525262,12.656513031302508
pricing_only,none,none,none,none,22,500,41799.89283059725,522.4986603824657,0.404825,0.2977955911823647,0.7022044088176354,5.944,2.240013698378208,0.11157916666666667,0.11157916666666667,0.01,0.01,14.972205388488597,0.3092369477911647,0.46,0.0,22,7008,9.900890344355386,47.614,1.1576521728,8.677805468228513,12.279939148923606
pricing_only,none,none,none,none,23,500,39261.220237015594,490.76525296269494,0.398975,0.29500509683995924,0.7049949031600408,5.788,2.6198285929321807,0.11222916666666667,0.11222916666666667,0.002,0.002,15.237807043197385,0.26305220883534136,0.458,0.0,17,6916,9.479182806097084,48.082,1.0796732,8.83817299974739,11.66251271581715
pricing_only,none,none,none,none,24,500,38497.92725645307,481.22409070566334,0.397125,0.292252437147255,0.707747562852745,5.696,2.678802055522257,0.11234583333333334,0.11234583333333334,0.01,0.01,14.999813730421078,0.2891566265060241,0.474,0.0,18,6897,9.394403406034117,48.23,1.0736786,8.093777224950378,10.55776593613594
pricing_only,none,none,none,none,25,500,36627.0727328258,457.8384091603225,0.4326,0.2706303440047723,0.7293696559952276,5.444,2.270572698268739,0.10590833333333334,0.10590833333333334,0.0,0.0,13.749156104870192,0.3232931726907631,0.396,0.0,17,7336,8.386599467237023,45.392,1.096624654,5.949497649301163,12.172910514057362
pricing_only,none,none,none,none,26,500,38074.220644624584,475.9277580578073,0.412,0.2882637628554144,0.7117362371445857,5.718,2.3493092332296057,0.1099125,0.1099125,0.008,0.008,14.624804997487816,0.28112449799196787,0.434,0.0,23,7059,9.03973342095255,47.04,1.1866818958,7.145080069330775,10.26355725551382
pricing_only,none,none,none,none,27,500,38470.69667953037,480.88370849412956,0.406775,0.298842476094615,0.701157523905385,5.938,2.6249103277249386,0.11124166666666667,0.11124166666666667,0.002,0.002,14.70119867765779,0.2710843373493976,0.488,0.0,24,6966,9.351900322526214,47.458,1.1351214578,7.8408830619853855,12.539313539864171
pricing_only,none,none,none,none,28,500,38256.41912940424,478.205239117553,0.400225,0.29411162314388123,0.7058883768561188,5.744,2.860928887876513,0.11192916666666666,0.11192916666666666,0.008,0.008,15.008631245005539,0.30120481927710846,0.444,0.0,19,6893,9.428063072879025,47.982,1.099885344,8.485580850841053,11.178115210524117
pricing_only,none,none,none,none,29,500,39312.398414424235,491.4049801803029,0.397775,0.2996235629260352,0.7003764370739648,5.89,2.5082070191820667,0.11264166666666667,0.11264166666666667,0.002,0.002,15.187789183087762,0.3353413654618474,0.472,0.0,18,6884,9.612627889648325,48.178,1.0754872,7.8287566948911085,12.116947031438581
pricing_only,none,none,none,none,30,500,38022.005930445026,475.2750741305628,0.411225,0.2927832982033524,0.7072167017966475,5.834,2.7766537628578543,0.11028333333333333,0.11028333333333333,0.006,0.006,14.729498537047354,0.321285140562249,0.44,0.0,21,7046,9.349742423011989,47.102,1.0750946,6.598347539846734,11.951721834336192
pricing_only,none,none,none,none,31,500,38202.47173843723,477.5308967304653,0.402775,0.3007843925985519,0.6992156074014482,5.982,3.013071449847507,0.112,0.112,0.01,0.01,14.705745453020873,0.27309236947791166,0.448,0.0,18,6953,9.418215726676406,47.778,1.222186631502,8.097932498198785,13.02499488741717
pricing_only,none,none,none,none,32,500,37900.74522013532,473.75931525169153,0.406975,0.2979048006509357,0.7020951993490643,5.858,2.5223489880972143,0.11104166666666666,0.11104166666666666,0.004,0.004,14.77090883664371,0.3333333333333333,0.448,0.0,21,6903,9.544765364603386,47.442,1.132792424693612,7.010738961082057,12.641247503107248
pricing_only,none,none,none,none,33,500,37563.95778341279,469.5494722926599,0.406,0.29730551053484605,0.7026944894651539,5.87,3.018160231159005,0.11122916666666667,0.11122916666666667,0.004,0.004,14.674642701945611,0.28313253012048195,0.454,0.0,21,6937,9.413480789651924,47.52,1.0909912,7.596971146436771,12.62561260212387
pricing_only,none,none,none,none,34,500,36297.47292661742,453.71841158271775,0.4146,0.29357614568741247,0.7064238543125876,5.868,2.1320197547593676,0.10979166666666666,0.10979166666666666,0.004,0.004,14.4866903168391,0.29518072289156627,0.442,0.0,22,7060,8.910325556636591,46.832,1.10200202,6.200846127917257,10.398837537806834
pricing_only,none,none,none,none,35,500,39494.45263888164,493.6806579860205,0.394125,0.29301323484148967,0.7069867651585103,5.712,2.6212946380208937,0.11287916666666667,0.11287916666666667,0.004,0.004,15.280479067917161,0.3493975903614458,0.452,0.0,22,6891,9.348229505918729,48.47,1.057772,10.037484918112103,11.154905657484077
pricing_only,none,none,none,none,36,500,38887.79114521141,486.09738931514266,0.40735,0.2975472456775231,0.7024527543224769,5.92,2.4663727541685194,0.11110833333333334,0.11110833333333334,0.004,0.004,14.934561015530209,0.30522088353413657,0.472,0.0,21,6988,9.074319291140803,47.412,1.0747066,8.952717430739881,11.547549505837361
pricing_only,none,none,none,none,37,500,37457.19087649354,468.21488595616927,0.423775,0.28274016060275603,0.717259839397244,5.704,2.2206069915017213,0.10792083333333333,0.10792083333333333,0.002,0.002,14.30391670065076,0.3353413654618474,0.424,0.0,18,7235,8.713367463353567,46.098,1.1505609354,6.202988695307387,11.763206650943621
pricing_only,none,none,none,none,38,500,35159.713392894206,439.49641741117756,0.412675,0.2904943729903537,0.7095056270096463,5.782,2.0818392338341094,0.10993333333333333,0.10993333333333333,0.0,0.0,14.324767208666954,0.3313253012048193,0.434,0.0,18,7061,8.658282870008058,46.986,1.059372,5.2589272007749654,12.482227367493989
pricing_only,none,none,none,none,39,500,36712.03912824656,458.90048910308195,0.40285,0.2939729397293973,0.7060270602706027,5.736,2.6043973529855498,0.111475,0.111475,0.004,0.004,15.076729413284589,0.3092369477911647,0.49,0.0,19,6888,9.086506814119799,47.772,1.1839082158,7.125070451321339,11.062188245343306
pricing_only,none,none,none,none,40,500,38191.33254346643,477.39165679333036,0.4049,0.2958752515090543,0.7041247484909456,5.882,2.9723727396668074,0.1114375,0.1114375,0.012,0.012,14.8079003688997,0.26506024096385544,0.444,0.0,24,6999,9.294544030008689,47.608,1.0719652,8.327427943679158,11.316215372294998
pricing_only,none,none,none,none,41,500,38917.61927360964,486.47024092012055,0.410975,0.2895216862586137,0.7104783137413864,5.714,2.319218935968319,0.110075,0.110075,0.0,0.0,14.897623601175713,0.3273092369477912,0.466,0.0,19,7011,9.292316962478818,47.122,1.092691096,7.263043365603721,10.508501545582359
pricing_only,none,none,none,none,42,500,39691.571621768075,496.14464527210095,0.396825,0.30456389452332655,0.6954361054766734,6.006,2.3469701779620236,0.11304166666666667,0.11304166666666667,0.006,0.006,15.115942493901178,0.30120481927710846,0.49,0.0,18,6857,9.767478838026653,48.254,1.08775775,7.538281997045757,11.649850026107906
pricing_only,none,none,none,none,43,500,37219.96393130291,465.24954914128637,0.414,0.2975444875236107,0.7024555124763894,5.986,2.3706754726775694,0.1101375,0.1101375,0.004,0.004,14.265223140994912,0.2891566265060241,0.474,0.0,20,7066,9.144415292394545,46.88,1.095298522,6.458485766542111,11.457292472812046
